File,Algorithm,Search,ObjectiveFunctionValue,Time(ns),NotFeasible,SolutionFile
SetA_10x5S15,MaxCapacityRandom,GreedyOutDoorSwap,6741.0,2008483,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,GreedySupplierReloc,7181.0,1408870,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,GreedyCustomerReloc,6842.0,1722838,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,GreedySupplierSwap,6944.0,1403471,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,GreedyCustomerSwap,7309.0,1471967,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,GreedyInDoorSwap,6990.0,2089404,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,GreedyOutDoorSwap,6935.0,1981895,,SetA_10x5S15-Solution
SetA_10x5S20,MaxCapacity,GreedySupplierReloc,6788.0,1819702,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacity,GreedyCustomerReloc,6860.0,1722626,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacity,GreedySupplierSwap,7008.0,1169944,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacity,GreedyCustomerSwap,7008.0,1194089,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacity,GreedyInDoorSwap,6805.0,2176639,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacity,GreedyOutDoorSwap,6664.0,1795537,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,GreedySupplierReloc,6670.0,2364603,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,GreedyCustomerReloc,7041.0,1427523,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,GreedySupplierSwap,7041.0,1522242,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,GreedyCustomerSwap,7041.0,1386553,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,GreedyInDoorSwap,6799.0,2573699,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,GreedyOutDoorSwap,6643.0,1920015,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacityRandom,GreedySupplierReloc,6690.0,2647263,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacityRandom,GreedyCustomerReloc,6733.0,1879720,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacityRandom,GreedySupplierSwap,6879.0,1254765,,SetA_10x5S20-Solution
