Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,ValueDeviation,Time(s),OptimalSolutionTime(s),TimeDeviation,SolutionFile
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100,7583.0,7535.0,0.637,0.033,0.571,-94.161,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100,7562.0,7535.0,0.358,0.038,0.571,-93.267,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,7576.0,7535.0,0.544,0.090,0.571,-84.279,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,7535.0,7535.0,0.000,0.081,0.571,-85.812,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,7558.0,7535.0,0.305,0.189,0.571,-66.862,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,7542.0,7535.0,0.093,0.180,0.571,-68.552,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,7543.0,7535.0,0.106,0.745,0.571,30.452,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,7542.0,7535.0,0.093,0.684,0.571,19.707,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7542.0,7535.0,0.093,5.473,0.571,858.463,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7542.0,7535.0,0.093,5.300,0.571,828.244,SetA_11x5S15-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1,7995.0,7439.0,7.474,0.010,0.447,-97.843,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1,7632.0,7439.0,2.594,0.012,0.447,-97.311,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10,7612.0,7439.0,2.326,0.018,0.447,-95.985,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10,7573.0,7439.0,1.801,0.018,0.447,-96.038,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100,7508.0,7439.0,0.928,0.041,0.447,-90.885,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100,7541.0,7439.0,1.371,0.037,0.447,-91.750,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,7445.0,7439.0,0.081,0.104,0.447,-76.748,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,7445.0,7439.0,0.081,0.087,0.447,-80.446,SetA_11x5S20-Solution
