Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1,6706.0,6616.0,10785538,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10,6622.0,6616.0,16137434,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100,6618.0,6616.0,33951560,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,6616.0,6616.0,78436017,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,6616.0,6616.0,213076936,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,6616.0,6616.0,602070635,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6616.0,6616.0,4002782734,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1,6677.0,6616.0,11883344,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10,6618.0,6616.0,16193817,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100,6616.0,6616.0,36101496,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,6616.0,6616.0,83501704,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,6616.0,6616.0,247160650,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,6616.0,6616.0,578078883,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6616.0,6616.0,4013916363,SetA_10x5S5-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1,7827.0,7572.0,12001714,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10,7738.0,7572.0,17919516,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100,7632.0,7572.0,40093120,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,7600.0,7572.0,100764996,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,7585.0,7572.0,235550872,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,7583.0,7572.0,916044138,SetA_11x5S10-Solution
