Problem, Algorithm, Objective Function Value, CPU (ns), NotFeasible, Solution output
SetA_8x4S30,MaxCapacity,5549.0,3048500,,SetA_8x4S30-Solution
SetA_8x4S30,MinCapacity,5584.0,3486700,,SetA_8x4S30-Solution
SetA_8x4S30,MaxCapacityRandom,5640.0,5102100,,SetA_8x4S30-Solution
SetA_8x4S30,MinCapacityRandom,5617.0,3678000,,SetA_8x4S30-Solution
SetA_8x4S5,MaxCapacity,5549.0,2784400,,SetA_8x4S5-Solution
SetA_8x4S5,MinCapacity,5613.0,2927300,,SetA_8x4S5-Solution
SetA_8x4S5,MaxCapacityRandom,5577.0,3089300,,SetA_8x4S5-Solution
SetA_8x4S5,MinCapacityRandom,5734.0,3237400,,SetA_8x4S5-Solution
SetA_9x4S10,MaxCapacity,6600.0,2533500,,SetA_9x4S10-Solution
SetA_9x4S10,MinCapacity,6417.0,2535900,,SetA_9x4S10-Solution
SetA_9x4S10,MaxCapacityRandom,6346.0,3588200,,SetA_9x4S10-Solution
SetA_9x4S10,MinCapacityRandom,6404.0,3291900,,SetA_9x4S10-Solution
SetA_9x4S15,MaxCapacity,6600.0,2997900,,SetA_9x4S15-Solution
SetA_9x4S15,MinCapacity,6550.0,3285000,,SetA_9x4S15-Solution
SetA_9x4S15,MaxCapacityRandom,6543.0,3323400,,SetA_9x4S15-Solution
SetA_9x4S15,MinCapacityRandom,6444.0,3123000,,SetA_9x4S15-Solution
SetA_9x4S20,MaxCapacity,6600.0,3045100,,SetA_9x4S20-Solution
SetA_9x4S20,MinCapacity,6386.0,2591500,,SetA_9x4S20-Solution
SetA_9x4S20,MaxCapacityRandom,6458.0,3287900,,SetA_9x4S20-Solution
SetA_9x4S20,MinCapacityRandom,6392.0,3502600,,SetA_9x4S20-Solution
SetA_9x4S30,MaxCapacity,6600.0,2537000,,SetA_9x4S30-Solution
SetA_9x4S30,MinCapacity,6323.0,2647300,,SetA_9x4S30-Solution
SetA_9x4S30,MaxCapacityRandom,6334.0,3563100,,SetA_9x4S30-Solution
SetA_9x4S30,MinCapacityRandom,6431.0,3782800,,SetA_9x4S30-Solution
SetA_9x4S5,MaxCapacity,6600.0,2451000,,SetA_9x4S5-Solution
SetA_9x4S5,MinCapacity,6398.0,2627400,,SetA_9x4S5-Solution
SetA_9x4S5,MaxCapacityRandom,6490.0,3531500,,SetA_9x4S5-Solution
SetA_9x4S5,MinCapacityRandom,6768.0,3475400,,SetA_9x4S5-Solution
